learning_rate,optimizer,weight_decay,test_accuracy,train_losses,train_accuracies,val_accuracies
0.0005,adam,0.0001,0.5,"[0.16445523338495857, 0.9878309394439889, 0.5628753880659739, 0.6847898410426245, 0.6918251567416721, 0.6764113081826104, 0.5567633204989964, 0.5068048059940338, 0.5691973355081347, 0.6330510940816667]","[0.9319444444444445, 0.5486111111111112, 0.675, 0.5534722222222223, 0.5569444444444445, 0.5583333333333333, 0.6972222222222222, 0.7298611111111111, 0.6798611111111111, 0.6180555555555556]","[1.0, 0.7847222222222222, 0.9097222222222222, 0.5555555555555556, 0.5555555555555556, 0.5694444444444444, 0.9305555555555556, 0.4444444444444444, 0.6944444444444444, 0.5555555555555556]"
0.0005,adam,0.001,0.8333333333333334,"[0.2042133729490969, 1.052944094604916, 0.5086026416884528, 0.44179406298531426, 0.4685355607006285, 0.639529076549742, 0.6881718768013848, 0.6349513835377163, 0.5960831430223253, 0.5659917542503939]","[0.9055555555555556, 0.5701388888888889, 0.71875, 0.7541666666666667, 0.7479166666666667, 0.6819444444444445, 0.5486111111111112, 0.6472222222222223, 0.7229166666666667, 0.7555555555555555]","[0.9305555555555556, 0.8333333333333334, 0.8888888888888888, 0.8888888888888888, 0.8055555555555556, 0.5555555555555556, 0.5555555555555556, 0.9444444444444444, 0.7777777777777778, 0.8611111111111112]"
0.0005,sgd,0.0,0.9947916666666666,"[0.5105308261182573, 0.30690762648979825, 0.21947498505728114, 0.030552657185924342, 0.0061401462470207155, 0.0757000647769827, 0.003143679663965789, 0.0035066439867174875, 0.32333173643306107, 0.025217267146541014]","[0.7520833333333333, 0.8729166666666667, 0.9013888888888889, 0.9881944444444445, 0.9979166666666667, 0.9756944444444444, 1.0, 0.9986111111111111, 0.8777777777777778, 0.9909722222222223]","[0.5972222222222222, 0.9791666666666666, 0.9097222222222222, 0.9236111111111112, 1.0, 0.9722222222222222, 0.9930555555555556, 0.9236111111111112, 0.9722222222222222, 1.0]"
0.0005,sgd,0.0001,0.9375,"[0.5176329685582055, 0.3188377511170175, 0.24464417356583806, 0.06831978628049708, 0.2579479179965953, 0.1887852545827627, 0.005955753573733899, 0.003014616816330494, 0.0006330079878454045, 0.0002021875621721847]","[0.7430555555555556, 0.86875, 0.8868055555555555, 0.9736111111111111, 0.9069444444444444, 0.9159722222222222, 0.9972222222222222, 0.9993055555555556, 1.0, 1.0]","[0.75, 0.9791666666666666, 0.9930555555555556, 1.0, 0.9861111111111112, 1.0, 1.0, 0.9861111111111112, 1.0, 0.9861111111111112]"
0.0005,sgd,0.001,0.9791666666666666,"[0.5380076077249315, 0.3231955819659763, 0.1916100355486075, 0.08206459146458656, 0.007556403830231931, 0.35792753679981815, 0.10002074152645138, 0.188107779275419, 0.018599447037559003, 0.0019875820124677073]","[0.73125, 0.8722222222222222, 0.9291666666666667, 0.9659722222222222, 0.9986111111111111, 0.8729166666666667, 0.9604166666666667, 0.9395833333333333, 0.9930555555555556, 0.9993055555555556]","[0.7291666666666666, 0.9861111111111112, 0.9722222222222222, 1.0, 0.9097222222222222, 0.9791666666666666, 1.0, 1.0, 0.9861111111111112, 1.0]"
0.0005,adamw,0.0,0.8333333333333334,"[0.18712564572277995, 1.2461496849854787, 0.6453025036387974, 0.535916366842058, 0.5246682829327054, 0.4135375161965688, 0.37297989941305587, 0.326986864540312, 0.255697387125757, 0.2485184950961007]","[0.9229166666666667, 0.5402777777777777, 0.6513888888888889, 0.7319444444444444, 0.7416666666666667, 0.7854166666666667, 0.8256944444444444, 0.8694444444444445, 0.8888888888888888, 0.9013888888888889]","[0.9513888888888888, 0.8888888888888888, 0.8888888888888888, 0.6666666666666666, 0.5555555555555556, 0.9166666666666666, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 0.9166666666666666]"
0.0005,adamw,0.0001,0.875,"[0.20427921882106198, 1.1529725535048378, 0.6371797660986582, 0.521491926908493, 0.4473924544122484, 0.3949613006578551, 0.3496462626589669, 0.1959088932308886, 0.15842228941619396, 0.08681208695181541]","[0.9104166666666667, 0.5409722222222222, 0.6243055555555556, 0.7319444444444444, 0.7875, 0.8048611111111111, 0.8513888888888889, 0.9138888888888889, 0.9340277777777778, 0.9625]","[0.9930555555555556, 0.5555555555555556, 0.6597222222222222, 0.5555555555555556, 0.8888888888888888, 0.9722222222222222, 0.75, 0.8888888888888888, 0.9930555555555556, 0.9444444444444444]"
0.0005,adamw,0.001,0.9583333333333334,"[0.20352099190155665, 0.8049851142697864, 0.4795939637555016, 0.35889778004752265, 0.381865204208427, 0.26564176032940545, 0.14820854363756047, 0.15793180466733045, 0.04604728252808046, 0.03702342917094938]","[0.9229166666666667, 0.6277777777777778, 0.7493055555555556, 0.8326388888888889, 0.8333333333333334, 0.9083333333333333, 0.95, 0.9347222222222222, 0.98125, 0.9881944444444445]","[0.9513888888888888, 0.8888888888888888, 0.9166666666666666, 0.9722222222222222, 0.9444444444444444, 0.9722222222222222, 0.9722222222222222, 0.8611111111111112, 0.9722222222222222, 0.9722222222222222]"
0.001,adam,0.0,0.5,"[0.2534894826511542, 1.4329912450578477, 0.6928337216377258, 0.6916627287864685, 0.6906437105602689, 0.6901709106233385, 0.6832710358831617, 0.6952602770593431, 0.6922363612386916, 0.6991571399900648]","[0.8819444444444444, 0.4979166666666667, 0.5229166666666667, 0.5347222222222222, 0.5381944444444444, 0.5569444444444445, 0.5520833333333334, 0.5236111111111111, 0.525, 0.5520833333333334]","[0.8402777777777778, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556]"
0.001,adam,0.0001,0.6875,"[0.19712814407216178, 2.0753924422793917, 0.6967428723971049, 0.6837728685802884, 0.6761794275707669, 0.7045106497075823, 0.661856558587816, 0.56377515329255, 0.49912662042511835, 0.49319375223583645]","[0.9145833333333333, 0.5166666666666667, 0.53125, 0.5326388888888889, 0.6069444444444444, 0.5381944444444444, 0.65625, 0.6909722222222222, 0.7409722222222223, 0.7638888888888888]","[0.6319444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.6597222222222222, 0.8888888888888888, 0.8611111111111112, 0.8888888888888888, 0.8055555555555556, 0.6666666666666666]"
0.001,adam,0.001,0.5,"[0.2294958621263504, 1.370970971054501, 0.694476826985677, 0.6888257808155483, 0.6921045660972596, 0.6958851138750712, 0.6899791876475017, 0.6927565707100762, 0.6914276997248332, 0.6894618193308513]","[0.90625, 0.5090277777777777, 0.5166666666666667, 0.5395833333333333, 0.5166666666666667, 0.5013888888888889, 0.5756944444444444, 0.5152777777777777, 0.5333333333333333, 0.5333333333333333]","[0.7777777777777778, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556]"
0.001,sgd,0.0,1.0,"[0.4223047268059519, 0.7393260108100044, 0.48583260774612425, 0.5823761019441817, 0.5218879358636008, 0.48900538749165007, 0.49213551349110074, 0.43184109073546195, 0.4220928476916419, 0.1953897018192543]","[0.7979166666666667, 0.6020833333333333, 0.7395833333333334, 0.7034722222222223, 0.6861111111111111, 0.725, 0.7354166666666667, 0.8215277777777777, 0.7965277777777777, 0.9180555555555555]","[0.7152777777777778, 0.8541666666666666, 0.9027777777777778, 0.10416666666666667, 0.7777777777777778, 0.8888888888888888, 0.8402777777777778, 0.8888888888888888, 0.9444444444444444, 0.9861111111111112]"
0.001,sgd,0.0001,0.859375,"[0.46337847146723005, 0.5466679288281335, 0.4269313765896691, 0.24225158443053563, 0.30242618289258744, 0.2665091105685052, 0.08922339049167931, 0.336910001520947, 0.4095264150036706, 0.6958777268727621]","[0.7673611111111112, 0.7965277777777777, 0.7868055555555555, 0.8881944444444444, 0.8833333333333333, 0.8930555555555556, 0.9701388888888889, 0.8513888888888889, 0.8013888888888889, 0.6652777777777777]","[0.9513888888888888, 0.5694444444444444, 0.9722222222222222, 1.0, 0.8680555555555556, 0.8958333333333334, 0.9444444444444444, 0.8888888888888888, 1.0, 0.9722222222222222]"
0.001,sgd,0.001,0.9791666666666666,"[0.43329760134220124, 0.5603453738821877, 0.27344752757085694, 0.21031342740688058, 0.13271426505719622, 0.0593947826535441, 0.013497974142794394, 0.00040539172785227293, 0.00019534810077554237, 0.00016807528202965235]","[0.8055555555555556, 0.7319444444444444, 0.8833333333333333, 0.9194444444444444, 0.9527777777777777, 0.9805555555555555, 0.9958333333333333, 1.0, 1.0, 1.0]","[0.6111111111111112, 0.8888888888888888, 0.7013888888888888, 0.7569444444444444, 0.9722222222222222, 0.9930555555555556, 1.0, 1.0, 1.0, 1.0]"
0.001,adamw,0.0,0.5,"[0.2833052921626303, 1.7560060501098633, 0.6879498971833123, 0.7001714004410637, 0.6881960074106852, 0.6889482272995843, 0.6902200626002417, 0.6938991228739421, 0.6914412392510308, 0.6910244835747613]","[0.8895833333333333, 0.5138888888888888, 0.5625, 0.5236111111111111, 0.5284722222222222, 0.5423611111111111, 0.5270833333333333, 0.5076388888888889, 0.5340277777777778, 0.5333333333333333]","[0.8680555555555556, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556]"
0.001,adamw,0.0001,0.5,"[0.22208123476141028, 1.4698481407275217, 0.6906472735934788, 0.6802295049031576, 0.6932090759277344, 0.6927529454231263, 0.6941677610079448, 0.6932598789532979, 0.691880026128557, 0.6910867200957405]","[0.8986111111111111, 0.5347222222222222, 0.5395833333333333, 0.5590277777777778, 0.5284722222222222, 0.5347222222222222, 0.5222222222222223, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333]","[0.9861111111111112, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556]"
0.001,adamw,0.001,0.5,"[0.1985580967221823, 0.9836471620533201, 0.7003077758683098, 0.6971015744739109, 0.6891283379660712, 0.6792230884234111, 0.6999347223175897, 0.6549657060040368, 0.6754959285259247, 0.6911621809005737]","[0.9138888888888889, 0.5173611111111112, 0.5215277777777778, 0.5277777777777778, 0.5298611111111111, 0.5715277777777777, 0.5368055555555555, 0.5819444444444445, 0.6305555555555555, 0.5173611111111112]","[0.9722222222222222, 0.4444444444444444, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444, 0.3611111111111111, 0.5555555555555556, 0.5555555555555556]"
